year,source_file,line_no,risk_category,risk_label,matched_term,snippet
2024,2024_annual_report.txt,2782,market,市场风险,投资,国中铁工程建设分公司）党委委员、副总经理（主持经理层工作）；2020 年 12 月至 2021 年 5 月任中铁投资集团有限公司总经理、党委
2024,2024_annual_report.txt,2782,organizational_propagation,组织传导风险,集团,国中铁工程建设分公司）党委委员、副总经理（主持经理层工作）；2020 年 12 月至 2021 年 5 月任中铁投资集团有限公司总经理、党委
2024,2024_annual_report.txt,2784,project,项目风险,质量,集团有限公司总经理、党委副书记、董事；2024 年 5 月至 2024 年 9 月任本公司安全生产总监、安全质量环保监督部（应急管理办公室、
2024,2024_annual_report.txt,2784,project,项目风险,安全,集团有限公司总经理、党委副书记、董事；2024 年 5 月至 2024 年 9 月任本公司安全生产总监、安全质量环保监督部（应急管理办公室、
2024,2024_annual_report.txt,2784,compliance,合规风险,环保,集团有限公司总经理、党委副书记、董事；2024 年 5 月至 2024 年 9 月任本公司安全生产总监、安全质量环保监督部（应急管理办公室、
2024,2024_annual_report.txt,2784,compliance,合规风险,安全生产,集团有限公司总经理、党委副书记、董事；2024 年 5 月至 2024 年 9 月任本公司安全生产总监、安全质量环保监督部（应急管理办公室、
2024,2024_annual_report.txt,2784,organizational_propagation,组织传导风险,集团,集团有限公司总经理、党委副书记、董事；2024 年 5 月至 2024 年 9 月任本公司安全生产总监、安全质量环保监督部（应急管理办公室、
2024,2024_annual_report.txt,2785,project,项目风险,质量,安全质量环保稽查总队）部长（主任、队长）；2024 年 9 月至 2025 年 1 月任本公司副总裁。2025 年 1 月至今任本公司党委委员、副总
2024,2024_annual_report.txt,2785,project,项目风险,安全,安全质量环保稽查总队）部长（主任、队长）；2024 年 9 月至 2025 年 1 月任本公司副总裁。2025 年 1 月至今任本公司党委委员、副总
2024,2024_annual_report.txt,2785,compliance,合规风险,环保,安全质量环保稽查总队）部长（主任、队长）；2024 年 9 月至 2025 年 1 月任本公司副总裁。2025 年 1 月至今任本公司党委委员、副总
2024,2024_annual_report.txt,2789,organizational_propagation,组织传导风险,集团,三局集团有限公司副总经理；2010 年 11 月至 2017 年 12 月任中铁上海工程局集团有限公司党委常委、副总经理；2017 年 12 月至 2018
